date,active_zone_minutes,avg_beats_per_minute,total_steps_taken,date_of_sleep,sleep_start_time,sleep_end_time,sleep_duration,minutes_asleep,minutes_awake,minutes_after_wakeup,time_in_bed,sleep_efficiency,sleep_type,sleep_info_code,main_sleep,sleep_restless_count,sleep_restless_minutes,sleep_awake_count,sleep_awake_minutes,sleep_asleep_count,sleep_asleep_minutes,sleep_deep_count,sleep_deep_minutes,sleep_deep_thirtyDayAvgMinutes,sleep_wake_count,sleep_wake_minutes,sleep_wake_thirtyDayAvgMinutes,sleep_light_count,sleep_light_minutes,sleep_light_thirtyDayAvgMinutes,sleep_rem_count,sleep_rem_minutes,sleep_rem_thirtyDayAvgMinutes
2025-01-04,37,97.42461197339246,5615,2025-01-04,2025-01-04T23:38:30.000,2025-01-05T08:51:30.000,33180000,509,44,0,553,98,stages,0,1,,,,,,,4.0,97.0,0.0,19.0,44.0,0.0,24.0,261.0,0.0,6.0,151.0,0.0
2025-01-05,22,76.00806314717366,8105,2025-01-05,2025-01-06T00:08:30.000,2025-01-06T07:54:00.000,27900000,409,56,0,465,99,stages,0,1,,,,,,,3.0,59.0,97.0,19.0,56.0,44.0,20.0,228.0,261.0,10.0,122.0,151.0
2025-01-06,64,74.7420994033515,5923,2025-01-06,2025-01-07T00:14:30.000,2025-01-07T07:41:30.000,26820000,397,50,0,447,98,stages,0,1,,,,,,,4.0,39.0,78.0,15.0,50.0,50.0,17.0,263.0,245.0,4.0,95.0,137.0
2025-01-07,79,84.2196506093415,20018,2025-01-07,2025-01-07T23:51:30.000,2025-01-08T07:53:30.000,28920000,417,65,0,482,92,stages,0,1,,,,,,,4.0,105.0,65.0,25.0,65.0,50.0,21.0,227.0,251.0,9.0,85.0,123.0
2025-01-08,7,80.42079400982763,13712,2025-01-08,2025-01-08T23:15:30.000,2025-01-09T07:24:30.000,29340000,445,44,1,489,95,stages,0,1,,,,,,,3.0,108.0,75.0,14.0,44.0,54.0,16.0,198.0,245.0,5.0,139.0,113.0
2025-01-09,47,74.51758636042217,13992,2025-01-09,2025-01-09T23:52:30.000,2025-01-10T07:39:30.000,28020000,428,39,0,467,97,stages,0,1,,,,,,,3.0,42.0,82.0,15.0,39.0,52.0,18.0,256.0,235.0,6.0,130.0,118.0
2025-01-10,6,78.8933686457021,16395,2025-01-10,2025-01-11T02:05:00.000,2025-01-11T13:01:30.000,39360000,613,43,0,656,98,stages,0,1,,,,,,,9.0,179.0,75.0,29.0,43.0,50.0,29.0,249.0,239.0,12.0,185.0,120.0
2025-01-11,1,70.28376556427948,4622,2025-01-11,2025-01-12T01:53:00.000,2025-01-12T08:44:00.000,24660000,369,42,0,411,98,stages,0,1,,,,,,,3.0,78.0,90.0,12.0,42.0,49.0,13.0,167.0,240.0,6.0,124.0,130.0
2025-01-12,10,75.35886624502226,3411,2025-01-12,2025-01-13T00:41:00.000,2025-01-13T07:43:00.000,25320000,382,40,3,422,98,stages,0,1,,,,,,,5.0,83.0,88.0,17.0,40.0,48.0,20.0,208.0,231.0,5.0,91.0,129.0
2025-01-14,9,79.92994683692417,11425,2025-01-14,2025-01-14T22:15:00.000,2025-01-15T05:10:00.000,24900000,365,50,0,415,97,stages,0,1,,,,,,,5.0,40.0,88.0,18.0,50.0,47.0,19.0,238.0,229.0,6.0,87.0,125.0
