date,total_steps_taken
2025-01-04,5615
2025-01-05,8105
2025-01-06,5923
2025-01-07,20018
2025-01-08,13712
2025-01-09,13992
2025-01-10,16395
2025-01-11,4622
2025-01-12,3411
2025-01-13,12534
2025-01-14,11425
2025-01-15,6084
2025-01-16,10749
2025-01-17,8455
2025-01-18,4735
2025-01-19,2414
2025-01-20,8531
2025-01-21,10795
2025-01-22,7049
2025-01-23,9145
2025-01-24,10304
2025-01-25,6751
2025-01-26,2170
2025-01-27,11810
2025-01-28,14702
2025-01-29,9310
2025-01-30,11208
2025-01-31,4475
2025-02-01,5213
2025-02-02,5200
2025-02-03,8540
2025-02-04,9138
2025-02-05,7467
2025-02-06,11589
2025-02-07,10623
2025-02-08,2818
2025-02-09,7411
2025-02-10,5088
2025-02-11,11219
2025-02-12,10631
2025-02-13,9366
2025-02-14,3724
2025-02-15,4574
2025-02-16,5240
2025-02-17,9947
2025-02-18,6205
2025-02-19,9821
2025-02-20,8045
2025-02-21,8639
2025-02-22,6313
2025-02-23,4852
2025-02-24,12601
2025-02-25,12371
2025-02-26,5116
2025-02-27,9227
2025-02-28,8623
2025-03-01,2982
2025-03-02,4677
2025-03-03,11193
2025-03-04,10295
2025-03-05,11041
2025-03-06,11593
2025-03-07,11003
2025-03-08,3982
2025-03-09,5923
2025-03-10,9322
2025-03-11,14694
2025-03-12,8847
2025-03-13,6480
2025-03-14,10155
2025-03-15,2171
2025-03-16,875
2025-03-17,10863
2025-03-18,9473
2025-03-19,9075
2025-03-20,13278
2025-03-21,9722
2025-03-22,2533
2025-03-23,3143
2025-03-24,12617
2025-03-25,12049
2025-03-26,12433
2025-03-27,13165
2025-03-28,13809
2025-03-29,6169
2025-03-30,3090
2025-03-31,11064
2025-04-01,9782
2025-04-02,11854
2025-04-03,6565
2025-04-04,10583
2025-04-05,3488
2025-04-06,1864
2025-04-07,8720
2025-04-08,8922
2025-04-09,7204
2025-04-10,10419
2025-04-11,7844
2025-04-12,1747
2025-04-13,8433
2025-04-14,9583
2025-04-15,6210
2025-04-16,10471
2025-04-17,3789
2025-04-18,11093
2025-04-19,3017
2025-04-20,9200
2025-04-21,12931
2025-04-22,12395
2025-04-23,6526
2025-04-24,8254
2025-04-25,9029
2025-04-26,1944
2025-04-27,6292
2025-04-28,7930
2025-04-29,9320
2025-04-30,7826
2025-05-01,6597
2025-05-02,7722
2025-05-03,5128
2025-05-04,945
2025-05-05,16654
2025-05-06,14142
2025-05-07,2446
2025-05-08,14154
2025-05-09,9091
2025-05-10,7202
2025-05-11,4381
2025-05-12,8365
2025-05-13,11775
2025-05-14,8379
2025-05-15,6843
2025-05-16,7694
2025-05-17,4440
2025-05-18,3290
2025-05-19,10036
2025-05-20,6293
2025-05-21,9139
2025-05-22,10720
2025-05-23,4751
2025-05-24,3534
2025-05-25,3640
2025-05-26,2885
2025-05-27,8105
2025-05-28,11396
2025-05-29,6152
2025-05-30,12185
2025-05-31,3078
2025-05-01,6597
2025-05-02,7722
2025-05-03,5128
2025-05-04,945
2025-05-05,16654
2025-05-06,14142
2025-05-07,2446
2025-05-08,14154
2025-05-09,9091
2025-05-10,7202
2025-05-11,4381
2025-05-12,8365
2025-05-13,11775
2025-05-14,8379
2025-05-15,6843
2025-05-16,7694
2025-05-17,4440
2025-05-18,3290
2025-05-19,10036
2025-05-20,6293
2025-05-21,9139
2025-05-22,10720
2025-05-23,4751
2025-05-24,3534
2025-05-25,3640
2025-05-26,2885
2025-05-27,8105
2025-05-28,11396
2025-05-29,6152
2025-05-30,12185
2025-05-31,3078
